"Time","Fuel system status: Fuel system 1","Fuel system status: Fuel system 2","Calculated engine load [%]","Engine Coolant Temperature [°F]","Short Term Fuel Trim - Bank 1 [%]","Long Term Fuel Trim - Bank 1 [%]","Engine RPM [RPM]","Vehicle Speed Sensor [mph]","Ignition Timing Advance for #1 Cylinder","Intake Air Temperature [°F]","Air Flow Rate from Mass Flow Sensor [lb/min]","Absolute Throttle Position [%]","Location of Oxygen Sensors","Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]","Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]","Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]","Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]","OBD requirements to which vehicle is certified","Fuel consumption [MPG]","Battery voltage [V]"
20:32:48.764,"Closed loop (1)",,,,,,,,,,,,,,,,,,,
20:32:48.764,"Closed loop (1)","NA",,,,,,,,,,,,,,,,,,
20:32:49.107,"Closed loop (1)","NA","13.3",,,,,,,,,,,,,,,,,
20:32:49.404,"Closed loop (1)","NA","13.3","186",,,,,,,,,,,,,,,,
20:32:49.679,"Closed loop (1)","NA","13.3","186","8.6",,,,,,,,,,,,,,,
20:32:49.976,"Closed loop (1)","NA","13.3","186","8.6","19.5",,,,,,,,,,,,,,
20:32:50.275,"Closed loop (1)","NA","13.3","186","8.6","19.5","765",,,,,,,,,,,,,
20:32:50.569,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0",,,,,,,,,,,,
20:32:50.845,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0",,,,,,,,,,,
20:32:51.121,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68",,,,,,,,,,
20:32:51.401,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2",,,,,,,,,
20:32:51.676,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6",,,,,,,,
20:32:51.955,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2",,,,,,,
20:32:52.237,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705",,,,,,
20:32:52.238,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5",,,,,
20:32:52.535,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,,,
20:32:52.827,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)",,
20:32:53.401,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0",
20:32:53.636,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:53.925,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:53.925,"Closed loop (1)","NA","13.3","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:54.176,"Closed loop (1)","NA","13.7","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:54.424,"Closed loop (1)","NA","13.7","186","8.6","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:54.665,"Closed loop (1)","NA","13.7","186","7.8","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:54.912,"Closed loop (1)","NA","13.7","186","7.8","19.5","765","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:55.160,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:55.410,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:55.674,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:55.935,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:56.215,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:56.487,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:56.751,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.705","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:56.999,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:56.999,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.830",,"OBDII (California ARB)","0.0","14.1"
20:32:57.265,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
20:32:57.516,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
20:32:58.012,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
20:32:58.248,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
20:32:58.504,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
20:32:58.504,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
20:32:58.761,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
20:32:59.006,"Closed loop (1)","NA","13.7","186","7.8","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
20:32:59.256,"Closed loop (1)","NA","13.7","186","5.5","19.5","754","0","14.0","68","0.2","10.6","B1S1, B1S2","0.775","5.5","0.835",,"OBDII (California ARB)","0.0","14.1"
