"Time","Fuel system status: Fuel system 1","Fuel system status: Fuel system 2","Calculated engine load [%]","Engine Coolant Temperature [°F]","Short Term Fuel Trim - Bank 1 [%]","Long Term Fuel Trim - Bank 1 [%]","Engine RPM [RPM]","Vehicle Speed Sensor [mph]","Ignition Timing Advance for #1 Cylinder","Intake Air Temperature [°F]","Air Flow Rate from Mass Flow Sensor [lb/min]","Absolute Throttle Position [%]","Location of Oxygen Sensors","Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]","Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]","Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]","Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]","OBD requirements to which vehicle is certified","Fuel consumption [MPG]","Battery voltage [V]"
13:28:22.057,"Closed loop (1)",,,,,,,,,,,,,,,,,,,
13:28:22.057,"Closed loop (1)","NA",,,,,,,,,,,,,,,,,,
13:28:22.347,"Closed loop (1)","NA","15.3",,,,,,,,,,,,,,,,,
13:28:22.626,"Closed loop (1)","NA","15.3","158",,,,,,,,,,,,,,,,
13:28:22.926,"Closed loop (1)","NA","15.3","158","-2.3",,,,,,,,,,,,,,,
13:28:23.198,"Closed loop (1)","NA","15.3","158","-2.3","19.5",,,,,,,,,,,,,,
13:28:23.482,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925",,,,,,,,,,,,,
13:28:23.777,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0",,,,,,,,,,,,
13:28:24.026,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5",,,,,,,,,,,
13:28:24.272,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93",,,,,,,,,,
13:28:24.546,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5",,,,,,,,,
13:28:24.820,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5","10.6",,,,,,,,
13:28:25.062,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5","10.6","B1S1, B1S2",,,,,,,
13:28:25.327,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5","10.6","B1S1, B1S2","0.055",,,,,,
13:28:25.327,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5","10.6","B1S1, B1S2","0.055","1.6",,,,,
13:28:25.573,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5","10.6","B1S1, B1S2","0.055","1.6","0.110",,,,
13:28:25.840,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5","10.6","B1S1, B1S2","0.055","1.6","0.110",,"OBDII (California ARB)",,
13:28:26.352,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5","10.6","B1S1, B1S2","0.055","1.6","0.110",,"OBDII (California ARB)","0.0",
13:28:26.588,"Closed loop (1)","NA","15.3","158","-2.3","19.5","925","0","14.5","93","0.5","10.6","B1S1, B1S2","0.055","1.6","0.110",,"OBDII (California ARB)","0.0","13.9"
