Fuel system status: Fuel system 2	Short Term Fuel Trim - Bank 1 [%]	Long Term Fuel Trim - Bank 1 [%]	Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]	Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]	Engine RPM [RPM]	Air Flow Rate from Mass Flow Sensor [lb/min]	Intake Air Temperature [°F]	Absolute Throttle Position [%]	Vehicle Speed Sensor [mph]	Ignition Timing Advance for #1 Cylinder	Engine Coolant Temperature [°F]	Battery voltage [V]	Calculated engine load [%]	Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]	Fuel consumption [MPG]	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
					class	class	class	class	class	class	class	class	class	class	class	class	meta
	8.6	19.5	6.3		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.055	0.0	13:28:33.480
	8.6	19.5	6.3		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.055	0.0	13:28:33.750
	8.6	19.5	6.3		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.055	0.0	13:28:34.003
	8.6	19.5	6.3		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.055	0.0	13:28:34.248
	8.6	19.5	6.3		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.06	0.0	13:28:34.497
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.06	0.0	13:28:34.497
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.06	0.0	13:28:34.746
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.06	0.0	13:28:35.001
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.06	0.0	13:28:35.518
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:35.754
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:36.026
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:36.026
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:36.301
	8.6	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:36.577
	13.3	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:36.830
	13.3	19.5	10.9		966.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:37.081
	13.3	19.5	10.9		1039.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:37.331
	13.3	19.5	10.9		1039.0	0.5	91.0	10.6	0.0	12.5	158.0	13.9	20.0	0.055	0.06	0.0	13:28:37.592
	13.3	19.5	10.9		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.055	0.06	0.0	13:28:37.842
	13.3	19.5	10.9		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.055	0.06	0.0	13:28:38.097
	13.3	19.5	10.9		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.055	0.06	0.0	13:28:38.346
	13.3	19.5	10.9		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.055	0.06	0.0	13:28:38.592
	13.3	19.5	10.9		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.055	0.06	0.0	13:28:38.832
	13.3	19.5	10.9		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.055	0.07	0.0	13:28:39.090
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.055	0.07	0.0	13:28:39.091
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.07	0.07	0.0	13:28:39.371
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.07	0.07	0.0	13:28:39.641
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	13.9	20.0	0.07	0.07	0.0	13:28:40.166
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	20.0	0.07	0.07	0.0	13:28:40.401
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	20.0	0.07	0.07	0.0	13:28:40.674
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	20.0	0.07	0.07	0.0	13:28:40.675
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:40.922
	13.3	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:41.178
	18.0	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:41.441
	18.0	19.5	15.6		1039.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:41.703
	18.0	19.5	15.6		1081.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:41.949
	18.0	19.5	15.6		1081.0	0.5	91.0	10.6	0.0	13.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:42.192
	18.0	19.5	15.6		1081.0	0.5	91.0	10.6	0.0	14.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:42.442
	18.0	19.5	15.6		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:42.699
	18.0	19.5	15.6		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:42.949
	18.0	19.5	15.6		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:43.227
	18.0	19.5	15.6		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.07	0.07	0.0	13:28:43.473
	18.0	19.5	15.6		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.07	0.14	0.0	13:28:43.743
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.07	0.14	0.0	13:28:43.743
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.105	0.14	0.0	13:28:44.018
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.105	0.14	0.0	13:28:44.272
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.0	19.2	0.105	0.14	0.0	13:28:44.796
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.1	19.2	0.105	0.14	0.0	13:28:45.031
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.1	19.2	0.105	0.14	0.0	13:28:45.292
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.1	19.2	0.105	0.14	0.0	13:28:45.292
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	158.0	14.1	17.3	0.105	0.14	0.0	13:28:45.549
	18.0	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:45.798
	17.2	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:46.043
	17.2	19.5	19.5		1081.0	0.5	93.0	10.6	0.0	14.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:46.288
	17.2	19.5	19.5		1068.0	0.5	93.0	10.6	0.0	14.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:46.538
	17.2	19.5	19.5		1068.0	0.5	93.0	10.6	0.0	14.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:46.796
	17.2	19.5	19.5		1068.0	0.5	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:47.064
	17.2	19.5	19.5		1068.0	0.5	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:47.342
	17.2	19.5	19.5		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:47.606
	17.2	19.5	19.5		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:47.880
	17.2	19.5	19.5		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.105	0.14	0.0	13:28:48.124
	17.2	19.5	19.5		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.105	0.965	0.0	13:28:48.370
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.105	0.965	0.0	13:28:48.371
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.89	0.965	0.0	13:28:48.618
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.89	0.965	0.0	13:28:48.860
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.1	17.3	0.89	0.965	0.0	13:28:49.350
